LocationID,Easting,Northing
CUVA_InvPla_260,448034.596,4567417.847
CUVA_InvPla_261,448315.311,4567655.462
CUVA_InvPla_262,448475.397,4567877.993
CUVA_InvPla_263,450333.661,4569546.814
CUVA_InvPla_264,450611.874,4569912.382
CUVA_InvPla_265,450898.174,4570156.993
CUVA_InvPla_266,451179.667,4570442.965
CUVA_InvPla_267,451460.564,4570724.559
CUVA_InvPla_268,451741.343,4571007.481
CUVA_InvPla_269,452026.252,4571290.489
CUVA_InvPla_27,448337.259,4580064.408
CUVA_InvPla_270,452309.092,4571573.087
CUVA_InvPla_271,452591.935,4571855.930
CUVA_InvPla_272,452874.778,4572138.772
CUVA_InvPla_273,453122.258,4572335.756
CUVA_InvPla_274,447504.230,4566360.072
CUVA_InvPla_275,447786.605,4566497.096
CUVA_InvPla_276,448066.452,4566764.761
CUVA_InvPla_277,448340.173,4566992.535
CUVA_InvPla_278,450385.671,4569046.260
CUVA_InvPla_279,450612.036,4569310.345
CUVA_InvPla_28,448609.248,4580349.921
CUVA_InvPla_280,450901.051,4569581.162
CUVA_InvPla_281,451177.722,4569876.030
CUVA_InvPla_282,451460.564,4570158.873
CUVA_InvPla_283,451740.415,4570437.842
CUVA_InvPla_284,452045.419,4570722.236
CUVA_InvPla_285,452309.140,4571007.401
CUVA_InvPla_286,452594.389,4571289.593
CUVA_InvPla_287,452874.778,4571573.087
CUVA_InvPla_288,453157.621,4571855.930
CUVA_InvPla_289,453440.462,4572137.438
CUVA_InvPla_29,448914.051,4580664.681
CUVA_InvPla_290,453660.356,4572291.126
CUVA_InvPla_291,448094.653,4566205.055
CUVA_InvPla_292,448349.295,4566481.918
CUVA_InvPla_293,448632.007,4566763.242
CUVA_InvPla_294,448908.692,4566991.248
CUVA_InvPla_295,450173.511,4568193.598
CUVA_InvPla_296,450306.255,4568454.034
CUVA_InvPla_297,450675.828,4568786.291
CUVA_InvPla_298,450901.394,4569030.712
CUVA_InvPla_299,451177.722,4569310.345
CUVA_InvPla_3,447027.855,4582121.498
CUVA_InvPla_30,449122.260,4580785.648
CUVA_InvPla_300,451460.564,4569593.188
CUVA_InvPla_301,451743.407,4569876.030
CUVA_InvPla_302,452018.968,4570170.176
CUVA_InvPla_303,452308.247,4570457.932
CUVA_InvPla_304,452591.935,4570724.559
CUVA_InvPla_305,452874.778,4571007.401
CUVA_InvPla_306,453154.197,4571295.117
CUVA_InvPla_307,453414.765,4571566.770
CUVA_InvPla_308,453723.091,4571906.063
CUVA_InvPla_309,453854.489,4572060.655
CUVA_InvPla_31,448359.524,4579631.935
CUVA_InvPla_310,448343.377,4565919.827
CUVA_InvPla_311,448632.137,4566199.075
CUVA_InvPla_312,448882.251,4566481.757
CUVA_InvPla_313,449536.583,4567083.803
CUVA_InvPla_314,449745.262,4567219.151
CUVA_InvPla_315,450611.449,4568165.498
CUVA_InvPla_316,450935.526,4568477.872
CUVA_InvPla_317,451169.827,4568746.747
CUVA_InvPla_318,451460.564,4569027.502
CUVA_InvPla_319,451743.407,4569310.345
CUVA_InvPla_32,448629.307,4579789.079
CUVA_InvPla_320,452026.250,4569593.188
CUVA_InvPla_321,452309.426,4569876.592
CUVA_InvPla_322,452596.709,4570158.575
CUVA_InvPla_323,452808.846,4570472.029
CUVA_InvPla_324,453125.205,4570791.957
CUVA_InvPla_325,453446.174,4570950.469
CUVA_InvPla_326,448437.101,4565374.001
CUVA_InvPla_327,448635.567,4565640.401
CUVA_InvPla_328,450042.711,4567027.566
CUVA_InvPla_329,450631.548,4567578.148
CUVA_InvPla_33,448931.497,4580046.885
CUVA_InvPla_330,450898.509,4567893.872
CUVA_InvPla_331,451146.704,4568237.078
CUVA_InvPla_332,451461.075,4568459.850
CUVA_InvPla_333,451743.407,4568744.660
CUVA_InvPla_334,452026.250,4569027.502
CUVA_InvPla_335,452309.092,4569310.345
CUVA_InvPla_336,452591.935,4569593.188
CUVA_InvPla_337,452874.778,4569876.030
CUVA_InvPla_338,453154.182,4570059.730
CUVA_InvPla_339,453770.768,4570840.932
CUVA_InvPla_34,449198.327,4580340.913
CUVA_InvPla_340,454015.373,4570972.150
CUVA_InvPla_341,454267.005,4571195.368
CUVA_InvPla_342,448662.154,4565115.234
CUVA_InvPla_343,448915.431,4565350.366
CUVA_InvPla_344,450062.676,4566482.672
CUVA_InvPla_345,450329.193,4566764.761
CUVA_InvPla_346,450552.215,4566932.796
CUVA_InvPla_347,450815.421,4567413.688
CUVA_InvPla_348,451170.924,4567633.671
CUVA_InvPla_349,451510.498,4567899.899
CUVA_InvPla_35,449481.274,4580601.712
CUVA_InvPla_350,451743.407,4568178.974
CUVA_InvPla_351,452026.250,4568461.817
CUVA_InvPla_352,452309.092,4568744.660
CUVA_InvPla_353,452591.935,4569027.502
CUVA_InvPla_354,452874.778,4569310.345
CUVA_InvPla_355,453157.528,4569591.573
CUVA_InvPla_356,453438.940,4569876.210
CUVA_InvPla_357,454091.568,4570500.720
CUVA_InvPla_358,454294.219,4570724.578
CUVA_InvPla_359,454473.200,4570939.980
CUVA_InvPla_36,449776.945,4580879.456
CUVA_InvPla_360,448913.690,4564913.746
CUVA_InvPla_361,449148.245,4565106.830
CUVA_InvPla_362,450072.143,4565888.481
CUVA_InvPla_363,450302.110,4566279.554
CUVA_InvPla_364,450521.785,4566522.508
CUVA_InvPla_365,451468.919,4567384.611
CUVA_InvPla_366,451743.407,4567613.289
CUVA_InvPla_367,452026.250,4567896.131
CUVA_InvPla_368,452282.504,4568165.521
CUVA_InvPla_369,452821.450,4568765.524
CUVA_InvPla_37,448719.187,4579148.107
CUVA_InvPla_370,453154.277,4569031.457
CUVA_InvPla_371,453446.560,4569313.612
CUVA_InvPla_372,453722.968,4569583.396
CUVA_InvPla_373,454017.519,4569880.725
CUVA_InvPla_374,454294.757,4570158.381
CUVA_InvPla_375,454571.834,4570441.716
CUVA_InvPla_376,454695.950,4570650.484
CUVA_InvPla_377,449306.316,4564502.125
CUVA_InvPla_378,449518.431,4564724.825
CUVA_InvPla_379,449818.602,4564959.406
CUVA_InvPla_38,448913.494,4579482.733
CUVA_InvPla_380,450004.663,4565423.568
CUVA_InvPla_381,450280.030,4565636.430
CUVA_InvPla_382,450672.393,4565845.362
CUVA_InvPla_383,450883.064,4566187.168
CUVA_InvPla_384,451130.784,4566555.786
CUVA_InvPla_385,451452.612,4566725.055
CUVA_InvPla_386,451738.168,4567070.904
CUVA_InvPla_387,452000.982,4567417.837
CUVA_InvPla_388,452288.503,4567610.236
CUVA_InvPla_389,453244.905,4568543.421
CUVA_InvPla_39,449199.031,4579829.193
CUVA_InvPla_390,453439.665,4568760.817
CUVA_InvPla_391,453720.020,4569041.059
CUVA_InvPla_392,454005.863,4569310.348
